id;ner_documento
11;[[0, [['Polícia de Moscou', 'LOC', 155, 172]]], [1, []], [2, []], [3, []]]
12;[[0, [['Universidade Técnica da Virgínia', 'ORG', 67, 99], ['Blacksburg', 'LOC', 104, 114], ['Virgínia', 'LOC', 116, 124], ['Estados Unidos', 'LOC', 218, 232]]], [1, [['Virginia Tech', 'LOC', 40, 53], ['Virgínia', 'LOC', 68, 76]]], [2, []], [3, []], [4, [['Bush', 'PER', 26, 30], ['Virginia', 'LOC', 238, 246], ['Casa Branca', 'LOC', 326, 337]]], [5, []], [6, []], [7, []], [8, [['Universidade de Tecnologia da Virgínia', 'ORG', 2, 40], ['Washington', 'LOC', 82, 92]]]]
13;[[0, [['Diego Maradona', 'PER', 30, 44], ['Alfredo Cahe', 'PER', 46, 58]]], [1, [['Maradona', 'PER', 0, 8]]]]
14;[[0, [['Aeroporto Internacional de São Paulo', 'LOC', 21, 57], ['Cumbica', 'LOC', 59, 66], ['Guarulhos', 'LOC', 72, 81], ['Ministério da Defesa', 'ORG', 150, 170]]], [1, [['Nelson Jobim', 'PER', 22, 34], ['Empresa Brasileira de Infra-Estrutura Aeroportuária', 'ORG', 79, 130], ['Infraero', 'ORG', 132, 140]]], [2, []], [3, []], [4, []], [5, []]]
15;[[0, [['Aeroporto de Congonhas', 'LOC', 80, 102], ['Zona Sul de São Paulo', 'LOC', 107, 128], ['Infraero', 'ORG', 174, 182]]], [1, [['TAM', 'ORG', 81, 84]]], [2, [['Aeroporto de Congonhas', 'LOC', 80, 102], ['Zona Sul de São Paulo', 'LOC', 107, 128], ['Infraero', 'ORG', 174, 182]]], [3, [['Cumbica', 'LOC', 0, 7]]], [4, [['Santos Dumont', 'LOC', 6, 19], ['ponte aérea Rio-São Paulo', 'LOC', 35, 60], ['São Paulo', 'LOC', 146, 155]]]]
16;[[0, [['Brasil', 'LOC', 2, 8], ['Colômbia', 'LOC', 56, 64], ['Equador', 'LOC', 151, 158], ['Maracanã', 'LOC', 162, 170]]], [1, [['Brasil', 'LOC', 20, 26]]], [2, [['Robinho', 'PER', 0, 7], ['Maicon', 'PER', 32, 38], ['Love', 'PER', 103, 107]]], [3, [['Brasil', 'LOC', 56, 62]]], [4, [['Kaká', 'PER', 8, 12], ['Ronaldinho', 'PER', 39, 49]]], [5, []], [6, [['Kaká', 'PER', 0, 4]]], [7, [['Kaké', 'PER', 34, 38], ['Robinho', 'PER', 66, 73], ['Brasil', 'LOC', 135, 141]]], [8, [['Elano', 'PER', 96, 101]]], [9, [['Kaká', 'PER', 8, 12]]]]
17;[[0, [['Bernardinho', 'PER', 10, 21], ['Rússia', 'LOC', 33, 39], ['Katowice', 'LOC', 100, 108], ['Polônia', 'LOC', 110, 117], ['Liga Mundial', 'ORG', 152, 164]]], [1, []], [2, []], [3, [['Liga', 'ORG', 18, 22], ['Roma', 'LOC', 41, 45], ['Itália', 'LOC', 118, 124], ['Liga', 'ORG', 149, 153]]]]
18;[[0, [['Itaú', 'ORG', 2, 6], ['País', 'LOC', 39, 43], ['Bradesco', 'ORG', 136, 144]]], [1, [['Economática', 'ORG', 32, 43], ['IPCA', 'ORG', 117, 121], ['Banco do Brasil', 'ORG', 140, 155]]], [2, [['Serasa', 'ORG', 142, 148], ['BankBoston', 'ORG', 162, 172], ['São Paulo', 'LOC', 176, 185], ['Itaú', 'ORG', 436, 440]]]]
19;[[0, [['Jade Barbosa', 'PER', 10, 22], ['Jogos Pan-Americanos do Rio', 'MISC', 53, 80], ['internet', 'MISC', 110, 118], ['Pequim-2008', 'MISC', 191, 202]]], [1, [['Brasil', 'LOC', 40, 46]]]]
20;[[0, [['Niigata', 'LOC', 38, 45], ['do Japão', 'LOC', 62, 70]]], [1, []], [2, []], [3, [['Richter', 'LOC', 36, 43]]], [4, []], [5, []], [6, [['Japão', 'LOC', 2, 7]]], [7, [['Niigata', 'LOC', 3, 10]]], [8, [['Kobe', 'LOC', 106, 110]]]]
21;[[0, [['Seleção Brasileira de Futebol', 'ORG', 2, 31], ['Copas do Mundo', 'MISC', 77, 91]]]]
22;[[0, [['Machado de Assis', 'PER', 0, 16]]]]
23;[[0, [['O Cristo Redentor', 'LOC', 0, 17], ['Rio de Janeiro', 'LOC', 33, 47], ['Novas Sete Maravilhas do Mundo', 'LOC', 59, 89]]]]
24;[[0, [['Floresta Amazônica', 'LOC', 2, 20]]]]
25;[[0, [['Carnaval do Rio de Janeiro', 'LOC', 2, 28]]]]
26;[[0, [['Brasil', 'LOC', 13, 19], ['Brasília', 'LOC', 21, 29], ['Oscar Niemeyer', 'PER', 69, 83], ['Lúcio Costa', 'PER', 101, 112]]]]
27;[[0, [['Santos Dumont', 'LOC', 0, 13], ['Brasil', 'LOC', 31, 37]]]]
28;[[0, [['América Latina', 'LOC', 65, 79]]]]
29;[[0, [['Rio Amazonas', 'LOC', 2, 14], ['Oceano Atlântico', 'LOC', 142, 158]]]]
30;[[0, [['Bossa Nova', 'ORG', 2, 12]]]]
31;[[0, [['Brasil', 'LOC', 138, 144]]]]
32;[[0, [['Pantanal', 'LOC', 2, 10]]]]
33;[[0, [['Pelé', 'PER', 0, 4], ['Rei do Futebol', 'PER', 30, 44], ['Copas do Mundo', 'MISC', 58, 72], ['Seleção Brasileira', 'ORG', 79, 97]]]]
34;[[0, [['independência do Brasil', 'MISC', 2, 25], ['Dom Pedro I', 'PER', 74, 85], ['riacho Ipiranga', 'LOC', 101, 116]]]]
35;[[0, [['Brasil', 'LOC', 58, 64], ['Américas', 'LOC', 110, 118]]]]
